SurveyName,Year,monthNominal,Match_Name,Transect,Station,Date_isotxt,Time,Cast#,Depth,Type,Lat_dDeg,Lon_dDeg
"S2023-04","2023","4","AlongBay_1","AlongBay","1","2023-04-21","11:20","196","67","CTD","59.4990333333333333","-151.8824"
"S2023-04","2023","4","AlongBay_2","AlongBay","2","2023-04-21","11:37","197","122","CTD","59.5271833333333333","-151.7309166666666667"
"S2023-04","2023","4","AlongBay_3","AlongBay","3","2023-04-21","11:51","198","107","CTD","59.5244","-151.6526833333333333"
"S2023-04","2023","4","AlongBay_3","AlongBay","3","2023-04-21","11:53","","105","Nutrients","59.5244","-151.6526833333333333"
"S2023-04","2023","4","AlongBay_3","AlongBay","3","2023-04-21","11:56","","0","Phytoplankton","59.5244","-151.6526833333333333"
"S2023-04","2023","4","AlongBay_4","AlongBay","4","2023-04-21","12:15","199","154","CTD","59.5516833333333333","-151.5288833333333333"
"S2023-04","2023","4","AlongBay_5","AlongBay","5","2023-04-21","12:31","200","173","CTD","59.5617333333333333","-151.46065"
"S2023-04","2023","4","AlongBay_6","AlongBay","6","2023-04-21","12:47","201","100","CTD","59.5830833333333333","-151.3817166666666667"
"S2023-04","2023","4","AlongBay_7","AlongBay","7","2023-04-21","13:08","202","146","CTD","59.592","-151.3471"
"S2023-04","2023","4","AlongBay_8","AlongBay","8","2023-04-21","13:21","203","81","CTD","59.6131666666666667","-151.2945166666666667"
"S2023-04","2023","4","AlongBay_9","AlongBay","9","2023-04-21","13:31","204","67","CTD","59.6322333333333333","-151.2474833333333333"
"S2023-04","2023","4","AlongBay_10","AlongBay","10","2023-04-21","13:47","205","64","CTD","59.65895","-151.2584166666666667"
"S2023-04","2023","4","AlongBay_11","AlongBay","11","2023-04-21","14:05","206","56","CTD","59.6872166666666667","-151.1639"
"S2023-04","2023","4","AlongBay_12","AlongBay","12","2023-04-21","14:15","207","80","CTD","59.7116666666666667","-151.1173666666666667"
"S2023-04","2023","4","AlongBay_13","AlongBay","13","2023-04-21","14:27","208","30","CTD","59.7419833333333333","-151.0553"
"S2023-04","2023","4","9_1","9","1","2023-04-22","10:26","209","50","CTD","59.56975","-151.3555"
"S2023-04","2023","4","9_1","9","1","2023-04-22","10:35","1","54","CTD","59.56975","-151.3555"
"S2023-04","2023","4","9_2","9","2","2023-04-22","10:42","2","72","CTD","59.5718","-151.3626666666666667"
"S2023-04","2023","4","9_3","9","3","2023-04-22","10:49","3","90","CTD","59.5746333333333333","-151.3690833333333333"
"S2023-04","2023","4","9_4","9","4","2023-04-22","10:58","4","92","CTD","59.5768666666666667","-151.37395"
"S2023-04","2023","4","9_5","9","5","2023-04-22","11:07","5","93","CTD","59.5794","-151.37955"
"S2023-04","2023","4","9_6","9","6","2023-04-22","11:15","6","98","CTD","59.5826833333333333","-151.38555"
"S2023-04","2023","4","9_7","9","7","2023-04-22","11:24","7","97","CTD","59.5861333333333333","-151.3895166666666667"
"S2023-04","2023","4","9_8","9","8","2023-04-22","11:33","8","90","CTD","59.5892166666666667","-151.39495"
"S2023-04","2023","4","9_9","9","9","2023-04-22","11:41","9","78","CTD","59.5923666666666667","-151.3991666666666667"
"S2023-04","2023","4","9_10","9","10","2023-04-22","11:49","10","60","CTD","59.5960166666666667","-151.4033666666666667"
"S2023-04","2023","4","9_10","9","10","2023-04-22","11:56","210","70","CTD","59.5960166666666667","-151.4033666666666667"
